C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.435829	-0.094227	-1.514720	1.011090	-1.286603	-0.408565	0.122277	1.545109	-0.979234	1.313337	0.300334	-0.246061	-1.682537	0.864325	-1.436669	-0.575322	-0.020731	1.426335	-1.123242	1.162422	0.891795	0.328284	0.887918	0.856899	0.829757	0.918937	0.359303	0.930569	0.969342	0.864653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035761	0.287226	-4.626979	-0.853849	-0.368619	-0.139808	-3.056061	-1.583030	9.314052	1.000000	0.000000	0.000000	0.000000	
0.463766	-0.066291	-1.486783	1.039026	-1.258666	-0.380628	0.150214	1.573046	-0.951297	1.341274	0.300334	-0.246061	-1.682537	0.864325	-1.436669	-0.575322	-0.020731	1.426335	-1.123242	1.162422	0.891795	0.328284	0.887918	0.856899	0.829757	0.918937	0.359303	0.930569	0.969342	0.864653	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.035761	0.287226	-4.626979	-0.853849	-0.368619	-0.139808	-3.056061	-1.583030	9.314052	1.000000	0.000000	0.000000	0.000000	
0.490833	-0.039224	-1.459717	1.066093	-1.231600	-0.353562	0.177280	1.600112	-0.924231	1.368340	0.330353	-0.230480	-1.646914	0.894436	-1.405317	-0.544333	-0.003737	1.463957	-1.093071	1.194532	1.198107	0.683710	1.391976	1.384221	1.186475	1.326061	0.705681	1.287287	1.624618	1.120560	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.053334	0.280073	-4.626178	-0.907823	-0.424012	0.136717	-2.443892	-0.358693	10.476215	1.000000	0.000000	0.000000	0.000000	
0.516488	-0.013568	-1.434061	1.091748	-1.205944	-0.327906	0.202936	1.625768	-0.898575	1.393996	0.365280	-0.211184	-1.610745	0.925000	-1.373662	-0.511527	0.014599	1.497551	-1.063869	1.224824	1.368711	0.847852	1.306674	1.132192	1.143824	1.302796	0.822002	1.256268	1.077909	1.190352	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.069133	0.273655	-4.621828	-0.762592	-0.335063	0.202586	-2.201177	-1.874767	8.642100	1.000000	0.000000	0.000000	0.000000	
0.540222	0.010165	-1.410328	1.115482	-1.182211	-0.304173	0.226669	1.649501	-0.874842	1.417729	0.365280	-0.211184	-1.610745	0.925000	-1.373662	-0.511527	0.014599	1.497551	-1.063869	1.224824	1.368711	0.847852	1.306674	1.132192	1.143824	1.302796	0.822002	1.256268	1.077909	1.190352	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.081035	0.268357	-4.615016	-0.701250	-0.275674	0.386433	-0.952927	-3.879858	9.376225	1.000000	0.000000	0.000000	0.000000	
0.561559	0.031502	-1.388990	1.136819	-1.160874	-0.282835	0.248007	1.670839	-0.853504	1.439066	0.401782	-0.185891	-1.567882	0.963229	-1.335101	-0.472329	0.040358	1.540414	-1.026217	1.263931	1.488910	1.101173	1.624618	1.768081	1.422995	1.686656	1.103758	1.574212	1.554825	1.624618	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.081035	0.268357	-4.615016	-0.701250	-0.275674	0.386433	-0.952927	-3.879858	9.376225	1.000000	0.000000	0.000000	0.000000	
0.580075	0.050018	-1.370475	1.155335	-1.142358	-0.264320	0.266522	1.689354	-0.834989	1.457582	0.440040	-0.159951	-1.532168	0.998064	-1.299447	-0.435858	0.066409	1.577794	-0.990957	1.298888	1.531561	1.116682	1.306674	1.298919	1.434627	1.504419	1.156749	1.326061	1.426872	1.481155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.089298	0.265728	-4.603755	-0.508792	-0.100794	0.544181	-2.039765	-3.519970	7.775260	1.000000	0.000000	0.000000	0.000000	
0.595399	0.065342	-1.355150	1.170659	-1.127033	-0.248995	0.281847	1.704679	-0.819664	1.472907	0.440040	-0.159951	-1.532168	0.998064	-1.299447	-0.435858	0.066409	1.577794	-0.990957	1.298888	1.531561	1.116682	1.306674	1.298919	1.434627	1.504419	1.156749	1.326061	1.426872	1.481155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092936	0.264707	-4.590820	-0.308967	-0.073363	0.680712	-2.507261	-2.110308	10.214371	1.000000	0.000000	0.000000	0.000000	
0.607227	0.077170	-1.343323	1.182487	-1.115206	-0.237168	0.293674	1.716506	-0.807837	1.484734	0.478420	-0.129164	-1.490395	1.037989	-1.259795	-0.396024	0.097195	1.620657	-0.949245	1.341205	1.605231	1.348032	1.535438	1.733184	1.492787	1.740939	1.261438	1.450136	1.454014	1.422995	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092772	0.265687	-4.573926	-0.102572	0.081278	0.860653	-2.480957	-2.983127	9.066553	1.000000	0.000000	0.000000	0.000000	
0.615322	0.085265	-1.335228	1.190582	-1.107111	-0.229073	0.300000	1.724601	-0.799742	1.492829	0.517981	-0.096681	-1.455014	1.074824	-1.222384	-0.357281	0.131092	1.656432	-0.914651	1.376556	1.399730	1.244636	1.070154	1.229126	1.302796	1.279532	1.182598	1.027503	1.155456	1.256268	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.092772	0.265687	-4.573926	-0.102572	0.081278	0.860653	-2.480957	-2.983127	9.066553	1.000000	0.000000	0.000000	0.000000	
