C_l_hyaw	C_l_hrol	C_l_hpit	C_l_knee	C_l_apit	C_r_hyaw	C_r_hrol	C_r_hpit	C_r_knee	C_r_apit	P_l_hyaw	P_l_hrol	P_l_hpit	P_l_knee	P_l_apit	P_r_hyaw	P_r_hrol	P_r_hpit	P_r_knee	P_r_apit	V_l_hyaw	V_l_hrol	V_l_hpit	V_l_knee	V_l_apit	V_r_hyaw	V_r_hrol	V_r_hpit	V_r_knee	V_r_apit	T_l_hyaw	T_l_hrol	T_l_hpit	T_l_knee	T_l_apit	T_r_hyaw	T_r_hrol	T_r_hpit	T_r_knee	T_r_apit	rol	pit	yaw	rol_rate	pit_rate	yaw_rate	x_acc	y_acc	z_acc	w_quat	x_quat	y_quat	z_quat	
0.595462	0.065143	-1.355118	1.169480	-1.127031	-0.248993	0.281849	1.704348	-0.819632	1.472939	0.542245	-0.073023	-1.412242	1.095180	-1.193789	-0.338166	0.152882	1.696478	-0.892053	1.402637	1.597476	1.441089	1.240758	1.341570	1.605231	1.632373	1.366127	1.260145	1.562580	1.605231	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.064655	0.287833	-4.272557	-2.038246	0.311197	-0.068702	-3.069213	-2.745194	9.555571	1.000000	0.000000	0.000000	0.000000	
0.574304	0.043984	-1.376276	1.148322	-1.148189	-0.270151	0.260691	1.683190	-0.840790	1.451781	0.576354	-0.042923	-1.387615	1.126896	-1.162103	-0.303724	0.181518	1.722287	-0.859671	1.435383	1.349325	1.233004	0.907305	1.233004	1.275655	1.318306	1.141239	0.864653	1.190352	1.186475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.102051	0.293250	-4.273669	-1.712719	0.270540	-0.016060	-3.207908	-3.873880	8.941011	1.000000	0.000000	0.000000	0.000000	
0.547687	0.017367	-1.402893	1.121705	-1.174807	-0.296769	0.234073	1.656572	-0.867407	1.425163	0.599194	-0.017730	-1.375589	1.149827	-1.140505	-0.277522	0.206933	1.734222	-0.838740	1.457072	0.822002	0.957710	0.279171	0.728945	0.775474	0.899550	0.909889	0.321822	0.728945	0.744455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.131146	0.297623	-4.274050	-1.290341	0.188248	0.006666	-2.876715	-4.233768	8.877643	1.000000	0.000000	0.000000	0.000000	
0.516553	-0.013767	-1.434027	1.090571	-1.205940	-0.327902	0.202940	1.625438	-0.898541	1.394030	0.599194	-0.017730	-1.375589	1.149827	-1.140505	-0.277522	0.206933	1.734222	-0.838740	1.457072	0.822002	0.957710	0.279171	0.728945	0.775474	0.899550	0.909889	0.321822	0.728945	0.744455	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.131146	0.297623	-4.274050	-1.290341	0.188248	0.006666	-2.876715	-4.233768	8.877643	1.000000	0.000000	0.000000	0.000000	
0.482006	-0.048314	-1.468574	1.056024	-1.240487	-0.362449	0.168393	1.590891	-0.933088	1.359483	0.607797	-0.001564	-1.380345	1.155795	-1.135416	-0.270706	0.222099	1.729284	-0.834105	1.461707	0.197746	0.557049	-0.345086	0.189991	0.174482	0.108566	0.585483	-0.255906	0.096934	0.116321	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.149907	0.300306	-4.274447	-0.747234	0.100719	-0.012243	-3.339428	-3.716055	9.267422	1.000000	0.000000	0.000000	0.000000	
0.445269	-0.085050	-1.505311	1.019287	-1.277224	-0.399186	0.131656	1.554155	-0.969825	1.322746	0.605434	0.005151	-1.393037	1.154128	-1.138900	-0.272827	0.229884	1.715683	-0.836468	1.458617	-0.124076	0.245567	-0.651398	-0.054283	-0.085302	-0.089180	0.333454	-0.558341	-0.139585	-0.019387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.159755	0.300947	-4.274051	-0.330449	0.020558	0.055846	-3.160082	-6.322556	9.595028	1.000000	0.000000	0.000000	0.000000	
0.407645	-0.122675	-1.542935	0.981663	-1.314849	-0.436810	0.094031	1.516530	-1.007449	1.285121	0.605434	0.005151	-1.393037	1.154128	-1.138900	-0.272827	0.229884	1.715683	-0.836468	1.458617	-0.124076	0.245567	-0.651398	-0.054283	-0.085302	-0.089180	0.333454	-0.558341	-0.139585	-0.019387	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.158696	0.299875	-4.273035	0.319007	-0.052679	0.030279	-3.987466	-3.499644	6.988528	1.000000	0.000000	0.000000	0.000000	
0.370465	-0.159855	-1.580115	0.944483	-1.352029	-0.473990	0.056851	1.479350	-1.044629	1.247941	0.586956	0.000779	-1.426237	1.131955	-1.162103	-0.292425	0.226027	1.683816	-0.856885	1.437504	-0.938323	-0.199038	-1.372589	-1.124437	-0.798738	-0.740578	-0.174482	-1.271777	-0.787106	-0.992607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.158696	0.299875	-4.273035	0.319007	-0.052679	0.030279	-3.987466	-3.499644	6.988528	1.000000	0.000000	0.000000	0.000000	
0.335047	-0.195273	-1.615533	0.909065	-1.387447	-0.509409	0.021433	1.443932	-1.080047	1.212523	0.558876	-0.009642	-1.461891	1.105207	-1.188669	-0.316901	0.215899	1.648465	-0.883178	1.410544	-1.229126	-0.465284	-1.337693	-1.023626	-1.000361	-0.942201	-0.408416	-1.279532	-0.949956	-1.108928	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.146571	0.295854	-4.271749	0.729932	-0.232620	0.070315	-4.193117	-4.851915	8.996011	1.000000	0.000000	0.000000	0.000000	
0.302645	-0.227674	-1.647935	0.876663	-1.419848	-0.541810	-0.010968	1.411531	-1.112449	1.180122	0.558876	-0.009642	-1.461891	1.105207	-1.188669	-0.316901	0.215899	1.648465	-0.883178	1.410544	-1.229126	-0.465284	-1.337693	-1.023626	-1.000361	-0.942201	-0.408416	-1.279532	-0.949956	-1.108928	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-0.146571	0.295854	-4.271749	0.729932	-0.232620	0.070315	-4.193117	-4.851915	8.996011	1.000000	0.000000	0.000000	0.000000	
